Store,Type,Size
33,A,39690
36,A,39910
3,B,37392
1,A,151315
5,B,34875
26,A,152513
7,B,70713
8,A,155078
9,B,125833
10,B,126512
40,A,155083
12,B,112238
34,A,158114
39,A,184109
15,B,123737
16,B,57197
17,B,93188
18,B,120653
41,A,196321
14,A,200898
21,B,140167
22,B,119557
23,B,114533
2,A,202307
25,B,128107
6,A,202505
32,A,203007
20,A,203742
29,B,93638
30,C,42988
31,A,203750
19,A,203819
24,A,203819
27,A,204184
35,B,103681
4,A,205863
37,C,39910
38,C,39690
28,A,206302
11,A,207499
13,A,219622
42,C,39690
43,C,41062
44,C,39910
45,B,118221
